"country","year","month","n_users","pct_is_hired_1mo","pct_is_unemployed","pct_job_offer","pct_job_search","pct_lost_job_1mo","pct_is_hired_1mo_male","pct_is_unemployed_male","pct_job_offer_male","pct_job_search_male","pct_lost_job_1mo_male","pct_is_hired_1mo_female","pct_is_unemployed_female","pct_job_offer_female","pct_job_search_female","pct_lost_job_1mo_female"
"Brazil",2008,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2008,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2008,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2008,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2008,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2008,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2008,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2009,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2009,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2009,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2009,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2009,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2009,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2009,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2009,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2009,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2010,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2010,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2010,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2010,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2010,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2010,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2010,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2010,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2010,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2010,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2011,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2011,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2011,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2011,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2011,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2011,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2011,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2011,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2011,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2012,1,905864,0.499633499068293,0.845270371711427,0.831912958236557,0.277304319412186,0.00838978036438141,0.740248416148879,1.1939097189617,0.812809834206306,0.339026457478399,0.0176830346526503,0.848089641102763,1.55072204724895,0.515263764507202,0.547313663734923,0.00677978637509476
"Brazil",2012,2,856859,0.420489252023962,0.78145879310365,0.78846111203827,0.260252853736729,0.00746914019692855,0.567369634074923,1.05476596789733,0.746207565348262,0.303520714344187,0.0132239315378173,0.695162108209075,1.39545930124333,0.416583756442927,0.496177571233255,0.00513508482518246
"Brazil",2012,3,867746,0.392280690432454,0.767390457576295,0.901185369912394,0.249496972616411,0.00679922465790681,0.556124966784345,1.02936896582267,0.893342950056308,0.319502967265181,0.0132862620050867,0.680285231123371,1.41843971631206,0.51182140262212,0.496389601538036,0.00964487567755252
"Brazil",2012,4,850520,0.304402012886234,0.658185580585995,0.793396980670649,0.194939566382919,0.00564360626440295,0.432360574792682,0.857124770526049,0.722922073811483,0.232322592897386,0.0056972842944863,0.518814324210253,1.18437713061264,0.451284049219181,0.380507126392,0.0110386026427713
"Brazil",2012,5,860214,0.300622868263014,0.655069552460202,0.829909766639464,0.199717744654237,0.00546375669310195,0.411314267854352,0.80950148460697,0.718237224566338,0.236286919831224,0.00875136740115643,0.48688601522578,1.19472833455001,0.482975284179789,0.380644488476379,0.0078214620919804
"Brazil",2012,6,821148,0.278999644400279,0.612557054270363,0.827987159440198,0.170249455640153,0.00779396649568653,0.399768964689238,0.799537929378476,0.751513735568405,0.214161945369235,0.0188202921688115,0.453014915685134,1.0777698143315,0.447605782363521,0.308996740997174,0.00338070832600847
"Brazil",2012,7,838191,0.304703820489602,0.607140854530769,0.850522136362714,0.177286561177584,0.00870923214398628,0.424054289105995,0.778279279107709,0.761774172046697,0.208218273692764,0.0196791661112063,0.47952514339069,1.05175403494731,0.466186474589836,0.334133653461385,0.00800320128051221
"Brazil",2012,8,797313,0.29511622160933,0.615943801242423,0.923100463682393,0.187003096650876,0.00852864558836994,0.395214626284782,0.774379927644293,0.821859180548218,0.224690548953785,0.0207303780284742,0.487410310227249,1.10103130164353,0.511815690567669,0.35422666322667,0.0055783726492389
"Brazil",2012,9,781449,0.24441774191278,0.503551735301984,0.790710590198465,0.147546416976668,0.00550259837814112,0.330268496055126,0.661896121723648,0.699951750898725,0.173968590514634,0.00815477768037349,0.385793713831839,0.863071598774538,0.423380233745603,0.263105639396346,0.00851015545217293
"Brazil",2012,10,796301,0.23822649977835,0.532336390385043,0.820041667660847,0.163129268957342,0.00527438744896716,0.295210362486193,0.618535997590119,0.766475884459618,0.170699869464806,0.0100411687920474,0.366196008671966,0.926955361609873,0.476680193451554,0.298098838178887,0.00625382177997665
"Brazil",2012,11,771058,0.233445473621958,0.531996295998485,0.818485768904544,0.152517709433013,0.00700336420865875,0.281943110145775,0.609832504907899,0.75672138451471,0.171254333570026,0.00696155827520432,0.376467220154595,0.908960778700258,0.460921843687375,0.269109647867163,0.00787288863441168
"Brazil",2012,12,769112,0.250808724867119,0.498626988006948,0.66206222240714,0.137301199305173,0.00351054202768908,0.303358462798673,0.576172824079859,0.577561192330654,0.133283352076305,0.00833020950476904,0.384075686779406,0.829632415698642,0.448449954431698,0.253157232340475,0.00216991913434693
"Brazil",2013,1,775480,0.359003455924073,0.72935472223655,1.0344560788157,0.277763449734358,0.00735028627430753,0.474288916911868,0.79725374807342,0.978702536079585,0.279529213955444,0.0119097660081267,0.548379852654608,1.30828799721826,0.829451692588541,0.556348384199126,0.00941735546170396
"Brazil",2013,2,755515,0.298736623362872,0.639563741289054,1.03651151863299,0.222894317121434,0.00502968174026988,0.379118442323925,0.7389233036238,0.976408818438032,0.244638692971287,0.0107297672355828,0.484955197600591,1.12584214335276,0.867696761245365,0.392440667596786,0.0029843396775421
"Brazil",2013,3,791402,0.266994523642852,0.623450534620837,1.15390155698368,0.208743470448647,0.00808691410939068,0.330868582051246,0.725552488103991,1.37411040051052,0.240694754657825,0.0131792516959616,0.434490797979441,1.04207142604825,0.807517044049596,0.370906778762938,0.00847786922886714
"Brazil",2013,4,779030,0.27842316727212,0.626163305649333,0.954006906024158,0.210774938064003,0.00654660282659204,0.357075342897351,0.700847878902448,0.929096039264285,0.217745944394267,0.012602659161083,0.436208947690977,1.1391903096723,0.58617830491366,0.396553588809979,0.00865207830130863
"Brazil",2013,5,778912,0.260491557454501,0.607899223532312,0.963780247319338,0.190907316872766,0.00513536830861509,0.331581581581582,0.690968746524302,0.939133578022467,0.198809921032143,0.00903681459237015,0.395639241012662,1.10328075113274,0.606549865817206,0.353457116051753,0.00581822413253915
"Brazil",2013,6,788603,0.233577604954584,0.543873152904567,0.819296908583914,0.16231234220514,0.00583309979799722,0.289325939448214,0.611717700547653,0.801157303757793,0.179795405228533,0.0117108118348087,0.373416763384972,0.945796898766571,0.491641375730794,0.303491230473115,0.00360440891298236
"Brazil",2013,7,784198,0.269574775758163,0.626244902435354,0.885363135330618,0.210533564227402,0.00701353484706669,0.361152602753175,0.73633054930259,0.819080077700405,0.231418172637957,0.0161291453656758,0.425038361513137,1.06763873180079,0.530937749890138,0.386136545374646,0.00720404002564638
"Brazil",2013,8,762534,0.276315547896881,0.635906071073552,0.930319172653285,0.22058032822143,0.0099667686949041,0.350406798175615,0.715709431901205,0.902262039027089,0.225565509756772,0.0170238120571149,0.462880276239805,1.08501518128237,0.56483300589391,0.404834196582723,0.00446508305054474
"Brazil",2013,9,763131,0.2413740235949,0.568578658185816,0.865906377804073,0.180833959045039,0.0078623460454365,0.318668922729836,0.666948674562888,0.849548787366046,0.174139875916526,0.0176254935138184,0.379586041993574,0.916087573787641,0.477471418964358,0.330269745199133,0.00523051632668311
"Brazil",2013,10,757317,0.231343017521065,0.619027435010702,0.794779464874022,0.200312418709734,0.00726248057286447,0.286498149550605,0.665875998456768,0.721603818070103,0.207907634711287,0.0178614806452996,0.386572788278212,1.06213688429839,0.421852246625933,0.361802104757472,0.00450376064013451
"Brazil",2013,11,728951,0.234446485429062,0.573289562672937,0.733794178209509,0.181768047509366,0.00397831953039368,0.276060152837616,0.595277957601327,0.613136296329367,0.166677828128372,0.00297638978800664,0.38678710398981,1.01822870146715,0.413970936599536,0.341739609950836,0.00388340465853223
"Brazil",2013,12,718258,0.251441682515196,0.54910630998889,0.597139189539135,0.158160438171242,0.00793586705612746,0.259357545049278,0.563068989106983,0.552544335104983,0.147345156027996,0.0172905030032852,0.421670035271272,0.931320096698767,0.327349106329014,0.266317917013435,0.0118891927238141
"Brazil",2014,1,709885,0.338364664699212,0.787451488621396,0.865914901709432,0.312867577142777,0.00662079069145002,0.396810256018925,0.787515738868328,0.767675226067381,0.278530275859438,0.00915715975428288,0.523251112009705,1.28265264860493,0.443995147594015,0.551556813586737,0.00161746866154468
"Brazil",2014,2,702221,0.275839087694615,0.642959979835408,0.815412811636223,0.252057400732818,0.0055538071347909,0.30176486725394,0.598957539549486,0.692687536196543,0.197366415703966,0.00990642240985156,0.413209480678325,1.11401275990876,0.404118872103402,0.45866252355294,0.00247925688406995
"Brazil",2014,3,723789,0.226999857693333,0.585806084369892,0.744968492198693,0.22271684151044,0.00414485437054169,0.239221930670494,0.569647222409114,0.643656507210299,0.205581346669956,0.00672811680010765,0.360665569811076,1.00662165776485,0.376875258341911,0.387411555886954,0.00567339098579221
"Brazil",2014,4,724440,0.203881618905637,0.530892827563359,0.724559659875214,0.188283363701618,0.00552150626690961,0.222258685242918,0.497471620996733,0.643655185787377,0.164083593132356,0.00895001417085577,0.31430921186558,0.915242368230341,0.345251569510378,0.359094203193577,0.00488563541759969
"Brazil",2014,5,724236,0.198554062487918,0.56942764513225,0.754588283377242,0.202558282106937,0.00469460231195356,0.218205187604152,0.562700363924405,0.660593787130378,0.18308311973636,0.00672550235766222,0.317825319262514,1.01589126596313,0.357245513899725,0.372849340943621,0.00410627027470948
"Brazil",2014,6,729408,0.168904097569536,0.492179959638501,0.646003334210757,0.17740414144073,0.00438711941739054,0.192192103056522,0.457105542404702,0.545410022187428,0.157315543814605,0.00445232671173411,0.270918166294496,0.839025351372652,0.35794036516485,0.315250229869959,0.00820964140286352
"Brazil",2014,7,760257,0.184279789597465,0.555075454747539,0.727911745633384,0.20519377000146,0.00631365446158339,0.187766303170362,0.531523073589947,0.646349389759515,0.179822344190077,0.00577742471293421,0.306549735324326,0.948882041558031,0.360274946669827,0.357904716757525,0.00632061309947065
"Brazil",2014,8,713661,0.194490101042372,0.5124281696772,0.72359285431038,0.182859929294161,0.00868759817336242,0.212569104074751,0.486309173350869,0.665998883629885,0.156750598328503,0.0129988301052905,0.301001082251082,0.851427218614719,0.331439393939394,0.318756764069264,0.00338203463203463
"Brazil",2014,9,701924,0.164120332115728,0.465292538793374,0.785555131324759,0.161271020794274,0.00826300283221545,0.166783775644936,0.40537723247033,0.701109575396304,0.125859978843169,0.0108100595325421,0.243342956573313,0.762300157867653,0.402955003357958,0.278230835651924,0.0104663637235833
"Brazil",2014,10,726913,0.158203251283166,0.478461659098131,0.934637294972026,0.1481607840278,0.00591542591754447,0.162719766289005,0.477563593155174,1.09362819668657,0.131689485275753,0.0105957057118422,0.240800406986603,0.745294217398677,0.613871460064439,0.25691029336951,0.00169577751399016
"Brazil",2014,11,690063,0.165347221920317,0.447930116525593,0.709935179831407,0.144769390620856,0.00376777192807034,0.158405068962207,0.36161157157029,0.652820890268489,0.108803481711415,0.00880028160901149,0.268922528940338,0.7479964381122,0.327693677649154,0.269813000890472,0.00534283170080142
"Brazil",2014,12,681785,0.175568544335824,0.438554676327581,0.591828802335047,0.140220157380993,0.00425354033896316,0.184678190153736,0.389606181859418,0.578334332323543,0.110968912504657,0.00485995237246675,0.262883560712505,0.717037574219281,0.316366767891946,0.259257580564746,0.00453247518469836
"Brazil",2015,1,692222,0.243130094102759,0.681717714837148,0.762616617212397,0.288491264363167,0.00707865395783434,0.244429151142647,0.548185766154868,0.656557266823291,0.204877508562931,0.00791032851594327,0.351928977549053,1.04694449602532,0.394372673333864,0.441237587429592,0.00618970563528486
"Brazil",2015,2,690674,0.19589560342506,0.607088148677958,0.689905802158471,0.256705768568094,0.00463315543946927,0.172409683544807,0.479092346440177,0.619721443156448,0.177176771569087,0.00635611736570716,0.28551993269248,0.957700087714588,0.354438537135492,0.446628358663158,0.00447523405474106
"Brazil",2015,3,721271,0.184673999093267,0.620016609568387,0.747291933267801,0.255382512259608,0.00582305402546338,0.176394132574116,0.519898496007922,0.684687751439005,0.182583400383735,0.00464195085721359,0.248970686560861,0.92638209522469,0.401168314741176,0.431079987331527,0.00703804060949432
"Brazil",2015,4,689558,0.162857946684688,0.554268096374779,0.736558781132262,0.220866120036313,0.00565579690178346,0.158747043950019,0.459875457216035,0.645625864312192,0.157110476486617,0.00736455358531017,0.233819499012975,0.884489334381049,0.445598635414071,0.349770971884164,0.00574965981179447
"Brazil",2015,5,705913,0.151293431343523,0.586049555681791,0.72841837450224,0.224531918239216,0.00722468632820192,0.134574134035838,0.463261261408216,0.64595584337202,0.162304561655343,0.0089716089357225,0.21335671489113,0.907983827755858,0.41404841930927,0.362414145842467,0.0116907788981441
"Brazil",2015,6,727470,0.151483909989415,0.573219514206771,0.695698791702751,0.221040042888367,0.00481119496336619,0.1504558649168,0.435013696389877,0.67459830737152,0.142278915736539,0.00735925426223476,0.197916566099306,0.933586923990384,0.382316878904025,0.371696965601135,0.00289633999169716
"Brazil",2015,7,779903,0.159122352395106,0.606485678347179,0.721115318187005,0.235029227993738,0.00602639046137789,0.140122173940424,0.472321934630644,0.711631714843504,0.174759115813338,0.00629762579507526,0.226794249726672,0.918019751881669,0.421060240528403,0.390339107099292,0.00722850198332023
"Brazil",2015,8,795605,0.155730544679835,0.619528534888544,0.693685937117037,0.244090974792768,0.00816988329635937,0.168073735574316,0.508093873441252,0.692432809232437,0.178142669041902,0.0100689334675858,0.213999662573146,0.916380297823597,0.405800190024597,0.405800190024597,0.00710372323894261
"Brazil",2015,9,822112,0.140248530613834,0.566346191273209,0.669981705655677,0.201675684091705,0.00535206881787396,0.130583777418819,0.474781479748192,0.697453238930572,0.161531377847557,0.00754819522652134,0.198446937014668,0.823123382226057,0.425366695427092,0.283865401207938,0.00258843830888697
"Brazil",2015,10,810488,0.131402315641934,0.558552378320222,0.635666413321357,0.202964140122988,0.00567559297608354,0.116879397490576,0.452810910807861,0.634709310875976,0.166417685168701,0.00696632170473632,0.180965916614437,0.855394991216532,0.396359495414059,0.32926969218139,0.00529656341310546
"Brazil",2015,11,797122,0.144018105133217,0.555372954202744,0.645321544255459,0.202603867413018,0.00476714982148278,0.140919361060595,0.480227990206498,0.64397786227691,0.160600836069058,0.00393629500169261,0.226050775867504,0.845664057926637,0.455703954537677,0.333222259246918,0.00540360420400407
"Brazil",2015,12,801986,0.149379166219859,0.508612369791991,0.516841939884237,0.163344497285489,0.004114785046123,0.128349488570596,0.433868516579132,0.58505319023284,0.122837547343638,0.00157484035055946,0.228995147483779,0.784217509041673,0.328953346782255,0.27170455991131,0.00636097631899388
"Brazil",2016,1,811558,0.196905211950347,0.728845011693557,0.766673484827948,0.31002097200693,0.00690030780301593,0.172611319025433,0.530817994348125,0.779806003207821,0.186359123195601,0.0137478041701673,0.262319819622224,1.05805251660335,0.613249344200451,0.485160067729398,0.00701859049156453
"Brazil",2016,2,812571,0.170569710216092,0.686340024440941,0.714276044801008,0.288097901598753,0.00553797760441857,0.146457970317851,0.497206032566244,0.726281319473653,0.18851769512708,0.0075106651445052,0.220777627867043,0.961959664277829,0.506386781377582,0.43542254384889,0.00525661018731054
"Brazil",2016,3,853578,0.163429704139516,0.72963455009384,0.693082530243282,0.285269770308045,0.00656061894753614,0.136351240796291,0.546840239404073,0.691803137513815,0.188021184676991,0.0107645716418125,0.241515509824147,1.03398827643463,0.462904727162948,0.418459164591143,0.00503157312133639
"Brazil",2016,4,866351,0.14878496129167,0.675823078636719,0.648005254221441,0.247936459933676,0.00611761283821453,0.124927720390346,0.529693534455065,0.688173271178818,0.161335227475532,0.0114219630071173,0.203327171903882,0.962863384305159,0.414216098134767,0.360443622920518,0.00504116955133591
"Brazil",2016,5,891091,0.157559665623376,0.718445141966421,0.629116442652883,0.256763899534391,0.00415221341030265,0.157747505836658,0.617669122853758,0.635897723528216,0.179481606640819,0.0028044001037628,0.219505326110366,1.0627371071683,0.421615890528966,0.40753441677849,0.00414160992661067
"Brazil",2016,6,894561,0.13950977071435,0.692406666510165,0.633159728626667,0.269070527331283,0.00447146701007533,0.121473409260065,0.523810192531843,0.621410215000913,0.178348242497437,0.0035107921751464,0.19715043074884,1.03462557985421,0.36779324055666,0.439032471835653,0.00579854208084824
"Brazil",2016,7,929291,0.158400328852857,0.675568793843909,0.612725185114243,0.258799450333641,0.00613370838628589,0.132174442583699,0.559146333024234,0.673328443109629,0.179923324983046,0.00484408951877431,0.228401433808289,0.995700200765673,0.391777548382902,0.430792739923108,0.00243844947126287
"Brazil",2016,8,938829,0.160945177449781,0.70534676708964,0.60564809992022,0.267034784822369,0.00564533051279839,0.140425386169812,0.576771586121862,0.601431653937048,0.187690516148919,0.00548001507004144,0.220689217188356,0.98516301629766,0.388190745342108,0.406449205756972,0.0055569227349586
"Brazil",2016,9,918740,0.157280623462568,0.66558547576028,0.593421424995102,0.23826109671942,0.00598645971656834,0.132312701326591,0.56111669148973,0.609608257420941,0.169027744103079,0.00969831318624225,0.207596557015205,0.911619663414594,0.370063427722756,0.356934791705984,0.00328215900419296
"Brazil",2016,10,944194,0.148062792180421,0.649019163434633,0.589815228650044,0.233850246877231,0.0061428053980432,0.151831467071551,0.511753382317057,0.626304801670146,0.161998752812949,0.00677819049426565,0.187329977683298,0.929319584941928,0.399094300281809,0.348596654123703,0.00244343449152128
"Brazil",2016,11,973574,0.154379636268019,0.662610135439114,0.520248075647049,0.23603752770719,0.00451943046958937,0.134596571398557,0.529850893261636,0.525254912774856,0.143131963731148,0.00393941184581142,0.217688167724315,0.973572174471845,0.333360109245723,0.400835408466543,0.0040163868583822
"Brazil",2016,12,932708,0.178298031109415,0.640822208022232,0.431539131217916,0.216144817027408,0.00493187578534761,0.144116707341115,0.471778277805347,0.426911755708585,0.14479650313046,0.00679795789344881,0.230756274212565,0.907023749368368,0.262758969176352,0.310763011622031,0.00252652854977261
"Brazil",2017,1,939826,0.223445616529017,0.927937724642647,0.569786322148993,0.392306661020231,0.0058521470995695,0.180804886472138,0.665659937835623,0.608777501642142,0.23226994779005,0.00474020301612346,0.276198896888552,1.26899920003368,0.383983832259694,0.543135025893647,0.00505241884552229
"Brazil",2017,2,921539,0.19521691431399,0.832194839285152,0.51967415377971,0.335200138029969,0.00531719221866899,0.140226296229778,0.557451335258279,0.5035712805493,0.184435571888427,0.00759846925383032,0.221962110374128,1.09160272250401,0.314735336194564,0.435253825811766,0.00433519746824468
"Brazil",2017,3,957885,0.196056937941402,0.927877563590619,0.571780537329638,0.377393946037364,0.00459345328510207,0.146553296098441,0.620656585780954,0.551094422195058,0.215440098872823,0.0027014432460542,0.22480297927571,1.16134067406961,0.371561150651929,0.499656433182616,0.00763481816408072
"Brazil",2017,4,953296,0.160600694852386,0.77174350883671,0.502677027911583,0.293612896728823,0.0046155653647975,0.136704005223317,0.506008855154965,0.518931124305428,0.16526902124013,0.00544095543177382,0.190051941797668,0.970898833889443,0.315606618279385,0.395583227271164,0.00429981768773004
"Brazil",2017,5,976671,0.163309855621801,0.802624425215861,0.538052220246122,0.303582270795386,0.00327643597485745,0.121565117490682,0.541699507060128,0.546375088502077,0.177004154588081,0.00200382061797828,0.195457128588403,0.993645490709329,0.329780089204223,0.389192167938143,0.00258313385799652
"Brazil",2017,6,956155,0.163467220272864,0.775397294371728,0.516234292557169,0.299951367717577,0.0051246921262766,0.12192297737273,0.530603348454507,0.5060825261896,0.185949568842209,0.00613020556622665,0.171610908018341,0.96084232354019,0.314619998033625,0.403106872480582,0.00178761362519105
"Brazil",2017,7,1000080,0.172986161107111,0.799136069114471,0.516158707303416,0.300275977921766,0.00379969602431805,0.135042541726815,0.528195951384685,0.520878375232,0.164312846337553,0.00266093678279438,0.201543701539301,0.9830756096917,0.337959744065902,0.403087403078602,0.00176020700034324
"Brazil",2017,8,1013013,0.194370654670769,0.873137857066,0.474130144430526,0.323885280840424,0.00710750997272493,0.144738842221444,0.553840866582511,0.528065456323898,0.170514252480057,0.00528726364279247,0.225423549716459,1.03818111373323,0.292346166038533,0.404177380155683,0.00352224296431968
"Brazil",2017,9,1015378,0.173629919104018,0.750656405791735,0.43008613540967,0.270638126884766,0.00600761489809706,0.128203424957819,0.500856903721221,0.470300646995523,0.151452750727372,0.00597839805502783,0.203606748109366,0.836462354786962,0.303206585929099,0.329649020748497,0.00176282898795988
"Brazil",2017,10,1018632,0.174842337566462,0.795576812823473,0.425472594617094,0.294119956961886,0.00520305664852469,0.123140346532997,0.532046605944199,0.469807191663934,0.174002663579235,0.00401544608259773,0.20320836466502,0.954273641995202,0.263186163927382,0.34822931213521,0.00179038206753321
"Brazil",2017,11,1025960,0.192600101368474,0.77069281453468,0.394654762368903,0.269406214667238,0.00497095403329565,0.157228478512108,0.464294353213105,0.450184105141506,0.131023732093423,0.00403149944902841,0.215396311111916,0.909551649863341,0.247072239216609,0.308614042391442,0.00543015910366174
"Brazil",2017,12,1017364,0.210249232329825,0.793521296212565,0.293012137248812,0.251925564498056,0.00560271446601216,0.14188364177109,0.462486101542303,0.323330991343734,0.119373256297792,0.00750346182443264,0.232386676497214,0.900615031404866,0.166123808901623,0.282783787062875,0.00373311930116007
"Brazil",2018,1,1059904,0.259174415796148,1.07245561862206,0.429001117082302,0.426548064730391,0.00688741621882737,0.176204654632446,0.603211554909615,0.458517951653044,0.190352473617533,0.00836007485482409,0.26296747321791,1.14099645258644,0.26296747321791,0.459751857538695,0.00529464711177
